Date,Timestamp,Status,ExcuseType,AllExcuses,HtmlFile
2026-01-07,2026-01-07_18-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-07_18-00-03.html
2026-01-08,2026-01-08_06-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-08_06-00-03.html
2026-01-08,2026-01-08_18-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-08_18-00-03.html
2026-01-09,2026-01-09_06-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-09_06-00-03.html
2026-01-09,2026-01-09_18-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-09_18-00-03.html
2026-01-10,2026-01-10_06-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-10_06-00-03.html
2026-01-10,2026-01-10_18-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-10_18-00-03.html
2026-01-11,2026-01-11_06-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-11_06-00-03.html
2026-01-11,2026-01-11_18-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-11_18-00-03.html
2026-01-12,2026-01-12_06-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-12_06-00-03.html
2026-01-12,2026-01-12_18-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-12_18-00-03.html
2026-01-13,2026-01-13_16-32-49,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-13_16-32-49.html
2026-01-13,2026-01-13_18-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-13_18-00-03.html
2026-01-14,2026-01-14_06-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-14_06-00-03.html
2026-01-14,2026-01-14_18-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-14_18-00-03.html
2026-01-15,2026-01-15_06-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-15_06-00-03.html
2026-01-15,2026-01-15_18-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-15_18-00-03.html
2026-01-16,2026-01-16_06-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-16_06-00-03.html
2026-01-16,2026-01-16_18-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-16_18-00-03.html
2026-01-17,2026-01-17_06-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-17_06-00-03.html
2026-01-17,2026-01-17_18-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-17_18-00-03.html
2026-01-19,2026-01-19_18-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-19_18-00-03.html
2026-01-20,2026-01-20_06-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-20_06-00-03.html
2026-01-20,2026-01-20_18-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-20_18-00-03.html
2026-01-21,2026-01-21_06-00-02,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-21_06-00-02.html
2026-01-21,2026-01-21_18-00-02,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-21_18-00-02.html
2026-01-22,2026-01-22_06-00-02,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-22_06-00-02.html
2026-01-22,2026-01-22_18-00-02,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-22_18-00-02.html
2026-01-23,2026-01-23_06-00-02,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-23_06-00-02.html
2026-01-23,2026-01-23_18-00-02,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-23_18-00-02.html
2026-01-24,2026-01-24_06-00-02,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-24_06-00-02.html
2026-01-24,2026-01-24_18-00-02,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-24_18-00-02.html
2026-01-25,2026-01-25_06-00-02,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-25_06-00-02.html
2026-01-25,2026-01-25_18-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-25_18-00-03.html
2026-01-26,2026-01-26_06-00-02,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-26_06-00-02.html
2026-01-26,2026-01-26_18-00-02,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-26_18-00-02.html
2026-01-27,2026-01-27_06-00-02,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-27_06-00-02.html
2026-01-27,2026-01-27_18-00-02,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-27_18-00-02.html
2026-01-28,2026-01-28_06-00-02,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-28_06-00-02.html
2026-01-28,2026-01-28_18-00-02,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-01-28_18-00-02.html
2026-02-01,2026-02-01_18-00-02,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-01_18-00-02.html
2026-02-02,2026-02-02_06-00-02,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-02_06-00-02.html
2026-02-02,2026-02-02_18-00-02,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-02_18-00-02.html
2026-02-03,2026-02-03_06-00-02,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-03_06-00-02.html
2026-02-03,2026-02-03_18-00-02,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-03_18-00-02.html
2026-02-04,2026-02-04_06-00-02,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-04_06-00-02.html
2026-02-04,2026-02-04_18-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-04_18-00-03.html
2026-02-05,2026-02-05_06-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-05_06-00-03.html
2026-02-05,2026-02-05_18-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-05_18-00-03.html
2026-02-06,2026-02-06_06-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-06_06-00-03.html
2026-02-06,2026-02-06_18-00-04,DEGRADED,CAPTCHA_BLOCK,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-06_18-00-04.html
2026-02-07,2026-02-07_06-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-07_06-00-03.html
2026-02-07,2026-02-07_18-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-07_18-00-03.html
2026-02-08,2026-02-08_06-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-08_06-00-03.html
2026-02-08,2026-02-08_18-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-08_18-00-03.html
2026-02-09,2026-02-09_06-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-09_06-00-03.html
2026-02-09,2026-02-09_18-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-09_18-00-03.html
2026-02-10,2026-02-10_06-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-10_06-00-03.html
2026-02-10,2026-02-10_18-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-10_18-00-03.html
2026-02-11,2026-02-11_18-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-11_18-00-03.html
2026-02-12,2026-02-12_06-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-12_06-00-03.html
2026-02-12,2026-02-12_18-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-12_18-00-03.html
2026-02-13,2026-02-13_06-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-13_06-00-03.html
2026-02-13,2026-02-13_18-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-13_18-00-03.html
2026-02-14,2026-02-14_06-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-14_06-00-03.html
2026-02-14,2026-02-14_18-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-14_18-00-03.html
2026-02-15,2026-02-15_06-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-15_06-00-03.html
2026-02-15,2026-02-15_18-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-15_18-00-03.html
2026-02-16,2026-02-16_06-00-02,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-16_06-00-02.html
2026-02-16,2026-02-16_18-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-16_18-00-03.html
2026-02-17,2026-02-17_06-00-02,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-17_06-00-02.html
2026-02-17,2026-02-17_18-00-02,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-17_18-00-02.html
2026-02-18,2026-02-18_06-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-18_06-00-03.html
2026-02-18,2026-02-18_18-00-02,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-18_18-00-02.html
2026-02-19,2026-02-19_18-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-19_18-00-03.html
2026-02-20,2026-02-20_06-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-20_06-00-03.html
2026-02-20,2026-02-20_18-00-03,DEGRADED,SYSTEMS_ISSUE,SYSTEMS_ISSUE;DOCUMENTS_NOT_POSTING;DHS_AWARE;MNIT_BLAME,3,C:\Repos GIT\MN State Fraud Case\dashboard\scripts\..\data\dhs-monitor\snapshots\snapshot_2026-02-20_18-00-03.html
